Time	Node	Type	Packets	
1	root	CacheHits	2
1	root	CacheMisses	144
1	root	size	8
1	rtr1-1	CacheHits	2
1	rtr1-1	CacheMisses	87
1	rtr1-1	size	8
1	rtr1-2	CacheHits	2
1	rtr1-2	CacheMisses	60
1	rtr1-2	size	8
1	user1-1	CacheHits	23
1	user1-1	CacheMisses	31
1	user1-1	size	35
1	rtr2-1	CacheHits	2
1	rtr2-1	CacheMisses	59
1	rtr2-1	size	8
1	user1-2	CacheHits	20
1	user1-2	CacheMisses	34
1	user1-2	size	38
1	user1-3	CacheHits	25
1	user1-3	CacheMisses	29
1	user1-3	size	33
1	user2-1	CacheHits	23
1	user2-1	CacheMisses	31
1	user2-1	size	35
1	user2-2	CacheHits	23
1	user2-2	CacheMisses	31
1	user2-2	size	35
2	root	CacheHits	0
2	root	CacheMisses	109
2	root	size	8
2	rtr1-1	CacheHits	0
2	rtr1-1	CacheMisses	65
2	rtr1-1	size	8
2	rtr1-2	CacheHits	0
2	rtr1-2	CacheMisses	44
2	rtr1-2	size	8
2	user1-1	CacheHits	25
2	user1-1	CacheMisses	25
2	user1-1	size	60
2	rtr2-1	CacheHits	0
2	rtr2-1	CacheMisses	40
2	rtr2-1	size	8
2	user1-2	CacheHits	28
2	user1-2	CacheMisses	22
2	user1-2	size	60
2	user1-3	CacheHits	28
2	user1-3	CacheMisses	22
2	user1-3	size	55
2	user2-1	CacheHits	26
2	user2-1	CacheMisses	24
2	user2-1	size	59
2	user2-2	CacheHits	34
2	user2-2	CacheMisses	16
2	user2-2	size	51
3	root	CacheHits	0
3	root	CacheMisses	99
3	root	size	8
3	rtr1-1	CacheHits	0
3	rtr1-1	CacheMisses	62
3	rtr1-1	size	8
3	rtr1-2	CacheHits	0
3	rtr1-2	CacheMisses	37
3	rtr1-2	size	8
3	user1-1	CacheHits	30
3	user1-1	CacheMisses	20
3	user1-1	size	80
3	rtr2-1	CacheHits	0
3	rtr2-1	CacheMisses	42
3	rtr2-1	size	8
3	user1-2	CacheHits	30
3	user1-2	CacheMisses	20
3	user1-2	size	80
3	user1-3	CacheHits	33
3	user1-3	CacheMisses	17
3	user1-3	size	72
3	user2-1	CacheHits	27
3	user2-1	CacheMisses	23
3	user2-1	size	82
3	user2-2	CacheHits	31
3	user2-2	CacheMisses	19
3	user2-2	size	70
4	root	CacheHits	0
4	root	CacheMisses	100
4	root	size	8
4	rtr1-1	CacheHits	0
4	rtr1-1	CacheMisses	57
4	rtr1-1	size	8
4	rtr1-2	CacheHits	0
4	rtr1-2	CacheMisses	43
4	rtr1-2	size	8
4	user1-1	CacheHits	31
4	user1-1	CacheMisses	19
4	user1-1	size	99
4	rtr2-1	CacheHits	0
4	rtr2-1	CacheMisses	38
4	rtr2-1	size	8
4	user1-2	CacheHits	26
4	user1-2	CacheMisses	24
4	user1-2	size	100
4	user1-3	CacheHits	31
4	user1-3	CacheMisses	19
4	user1-3	size	91
4	user2-1	CacheHits	30
4	user2-1	CacheMisses	20
4	user2-1	size	100
4	user2-2	CacheHits	32
4	user2-2	CacheMisses	18
4	user2-2	size	88
5	root	CacheHits	0
5	root	CacheMisses	86
5	root	size	8
5	rtr1-1	CacheHits	0
5	rtr1-1	CacheMisses	44
5	rtr1-1	size	8
5	rtr1-2	CacheHits	0
5	rtr1-2	CacheMisses	42
5	rtr1-2	size	8
5	user1-1	CacheHits	37
5	user1-1	CacheMisses	13
5	user1-1	size	100
5	rtr2-1	CacheHits	0
5	rtr2-1	CacheMisses	31
5	rtr2-1	size	8
5	user1-2	CacheHits	29
5	user1-2	CacheMisses	21
5	user1-2	size	100
5	user1-3	CacheHits	29
5	user1-3	CacheMisses	21
5	user1-3	size	100
5	user2-1	CacheHits	35
5	user2-1	CacheMisses	15
5	user2-1	size	100
5	user2-2	CacheHits	34
5	user2-2	CacheMisses	16
5	user2-2	size	100
6	root	CacheHits	0
6	root	CacheMisses	90
6	root	size	8
6	rtr1-1	CacheHits	0
6	rtr1-1	CacheMisses	53
6	rtr1-1	size	8
6	rtr1-2	CacheHits	0
6	rtr1-2	CacheMisses	37
6	rtr1-2	size	8
6	user1-1	CacheHits	33
6	user1-1	CacheMisses	17
6	user1-1	size	100
6	rtr2-1	CacheHits	0
6	rtr2-1	CacheMisses	36
6	rtr2-1	size	8
6	user1-2	CacheHits	32
6	user1-2	CacheMisses	18
6	user1-2	size	100
6	user1-3	CacheHits	31
6	user1-3	CacheMisses	19
6	user1-3	size	100
6	user2-1	CacheHits	38
6	user2-1	CacheMisses	12
6	user2-1	size	100
6	user2-2	CacheHits	26
6	user2-2	CacheMisses	24
6	user2-2	size	100
7	root	CacheHits	0
7	root	CacheMisses	88
7	root	size	8
7	rtr1-1	CacheHits	0
7	rtr1-1	CacheMisses	55
7	rtr1-1	size	8
7	rtr1-2	CacheHits	0
7	rtr1-2	CacheMisses	33
7	rtr1-2	size	8
7	user1-1	CacheHits	32
7	user1-1	CacheMisses	18
7	user1-1	size	100
7	rtr2-1	CacheHits	0
7	rtr2-1	CacheMisses	37
7	rtr2-1	size	8
7	user1-2	CacheHits	36
7	user1-2	CacheMisses	14
7	user1-2	size	100
7	user1-3	CacheHits	31
7	user1-3	CacheMisses	19
7	user1-3	size	100
7	user2-1	CacheHits	37
7	user2-1	CacheMisses	13
7	user2-1	size	100
7	user2-2	CacheHits	26
7	user2-2	CacheMisses	24
7	user2-2	size	100
8	root	CacheHits	0
8	root	CacheMisses	79
8	root	size	8
8	rtr1-1	CacheHits	0
8	rtr1-1	CacheMisses	52
8	rtr1-1	size	8
8	rtr1-2	CacheHits	0
8	rtr1-2	CacheMisses	27
8	rtr1-2	size	8
8	user1-1	CacheHits	35
8	user1-1	CacheMisses	15
8	user1-1	size	100
8	rtr2-1	CacheHits	0
8	rtr2-1	CacheMisses	37
8	rtr2-1	size	8
8	user1-2	CacheHits	36
8	user1-2	CacheMisses	14
8	user1-2	size	100
8	user1-3	CacheHits	37
8	user1-3	CacheMisses	13
8	user1-3	size	100
8	user2-1	CacheHits	32
8	user2-1	CacheMisses	18
8	user2-1	size	100
8	user2-2	CacheHits	31
8	user2-2	CacheMisses	19
8	user2-2	size	100
9	root	CacheHits	0
9	root	CacheMisses	80
9	root	size	8
9	rtr1-1	CacheHits	0
9	rtr1-1	CacheMisses	45
9	rtr1-1	size	8
9	rtr1-2	CacheHits	0
9	rtr1-2	CacheMisses	35
9	rtr1-2	size	8
9	user1-1	CacheHits	32
9	user1-1	CacheMisses	18
9	user1-1	size	100
9	rtr2-1	CacheHits	0
9	rtr2-1	CacheMisses	27
9	rtr2-1	size	8
9	user1-2	CacheHits	36
9	user1-2	CacheMisses	14
9	user1-2	size	100
9	user1-3	CacheHits	29
9	user1-3	CacheMisses	21
9	user1-3	size	100
9	user2-1	CacheHits	38
9	user2-1	CacheMisses	12
9	user2-1	size	100
9	user2-2	CacheHits	35
9	user2-2	CacheMisses	15
9	user2-2	size	100
10	root	CacheHits	0
10	root	CacheMisses	96
10	root	size	8
10	rtr1-1	CacheHits	0
10	rtr1-1	CacheMisses	55
10	rtr1-1	size	8
10	rtr1-2	CacheHits	0
10	rtr1-2	CacheMisses	41
10	rtr1-2	size	8
