Time	Node	Type	Packets	
1	root	CacheHits	2
1	root	CacheMisses	352
1	root	size	8
1	rtr1-1	CacheHits	2
1	rtr1-1	CacheMisses	214
1	rtr1-1	size	8
1	rtr1-2	CacheHits	2
1	rtr1-2	CacheMisses	141
1	rtr1-2	size	8
1	user1-1	CacheHits	79
1	user1-1	CacheMisses	76
1	user1-1	size	80
1	rtr2-1	CacheHits	2
1	rtr2-1	CacheMisses	141
1	rtr2-1	size	8
1	user1-2	CacheHits	79
1	user1-2	CacheMisses	76
1	user1-2	size	80
1	user1-3	CacheHits	87
1	user1-3	CacheMisses	68
1	user1-3	size	72
1	user2-1	CacheHits	76
1	user2-1	CacheMisses	79
1	user2-1	size	82
1	user2-2	CacheHits	88
1	user2-2	CacheMisses	67
1	user2-2	size	70
2	root	CacheHits	0
2	root	CacheMisses	276
2	root	size	8
2	rtr1-1	CacheHits	0
2	rtr1-1	CacheMisses	154
2	rtr1-1	size	8
2	rtr1-2	CacheHits	0
2	rtr1-2	CacheMisses	122
2	rtr1-2	size	8
2	user1-1	CacheHits	101
2	user1-1	CacheMisses	49
2	user1-1	size	100
2	rtr2-1	CacheHits	0
2	rtr2-1	CacheMisses	105
2	rtr2-1	size	8
2	user1-2	CacheHits	87
2	user1-2	CacheMisses	63
2	user1-2	size	100
2	user1-3	CacheHits	90
2	user1-3	CacheMisses	60
2	user1-3	size	100
2	user2-1	CacheHits	103
2	user2-1	CacheMisses	47
2	user2-1	size	100
2	user2-2	CacheHits	93
2	user2-2	CacheMisses	57
2	user2-2	size	100
3	root	CacheHits	0
3	root	CacheMisses	247
3	root	size	8
3	rtr1-1	CacheHits	0
3	rtr1-1	CacheMisses	152
3	rtr1-1	size	8
3	rtr1-2	CacheHits	0
3	rtr1-2	CacheMisses	95
3	rtr1-2	size	8
3	user1-1	CacheHits	98
3	user1-1	CacheMisses	52
3	user1-1	size	100
3	rtr2-1	CacheHits	0
3	rtr2-1	CacheMisses	101
3	rtr2-1	size	8
3	user1-2	CacheHits	108
3	user1-2	CacheMisses	42
3	user1-2	size	100
3	user1-3	CacheHits	98
3	user1-3	CacheMisses	52
3	user1-3	size	100
3	user2-1	CacheHits	107
3	user2-1	CacheMisses	43
3	user2-1	size	100
3	user2-2	CacheHits	91
3	user2-2	CacheMisses	59
3	user2-2	size	100
4	root	CacheHits	0
4	root	CacheMisses	275
4	root	size	8
4	rtr1-1	CacheHits	0
4	rtr1-1	CacheMisses	166
4	rtr1-1	size	8
4	rtr1-2	CacheHits	0
4	rtr1-2	CacheMisses	109
4	rtr1-2	size	8
4	user1-1	CacheHits	94
4	user1-1	CacheMisses	56
4	user1-1	size	100
4	rtr2-1	CacheHits	0
4	rtr2-1	CacheMisses	110
4	rtr2-1	size	8
4	user1-2	CacheHits	98
4	user1-2	CacheMisses	52
4	user1-2	size	100
4	user1-3	CacheHits	91
4	user1-3	CacheMisses	59
4	user1-3	size	100
4	user2-1	CacheHits	103
4	user2-1	CacheMisses	47
4	user2-1	size	100
4	user2-2	CacheHits	89
4	user2-2	CacheMisses	61
4	user2-2	size	100
5	root	CacheHits	0
5	root	CacheMisses	271
5	root	size	8
5	rtr1-1	CacheHits	0
5	rtr1-1	CacheMisses	153
5	rtr1-1	size	8
5	rtr1-2	CacheHits	0
5	rtr1-2	CacheMisses	118
5	rtr1-2	size	8
5	user1-1	CacheHits	98
5	user1-1	CacheMisses	52
5	user1-1	size	100
5	rtr2-1	CacheHits	0
5	rtr2-1	CacheMisses	99
5	rtr2-1	size	8
5	user1-2	CacheHits	91
5	user1-2	CacheMisses	59
5	user1-2	size	100
5	user1-3	CacheHits	97
5	user1-3	CacheMisses	53
5	user1-3	size	100
5	user2-1	CacheHits	106
5	user2-1	CacheMisses	44
5	user2-1	size	100
5	user2-2	CacheHits	100
5	user2-2	CacheMisses	50
5	user2-2	size	100
6	root	CacheHits	0
6	root	CacheMisses	294
6	root	size	8
6	rtr1-1	CacheHits	0
6	rtr1-1	CacheMisses	173
6	rtr1-1	size	8
6	rtr1-2	CacheHits	0
6	rtr1-2	CacheMisses	121
6	rtr1-2	size	8
6	user1-1	CacheHits	104
6	user1-1	CacheMisses	46
6	user1-1	size	100
6	rtr2-1	CacheHits	0
6	rtr2-1	CacheMisses	121
6	rtr2-1	size	8
6	user1-2	CacheHits	95
6	user1-2	CacheMisses	55
6	user1-2	size	100
6	user1-3	CacheHits	93
6	user1-3	CacheMisses	57
6	user1-3	size	100
6	user2-1	CacheHits	96
6	user2-1	CacheMisses	54
6	user2-1	size	100
6	user2-2	CacheHits	94
6	user2-2	CacheMisses	56
6	user2-2	size	100
7	root	CacheHits	0
7	root	CacheMisses	315
7	root	size	8
7	rtr1-1	CacheHits	0
7	rtr1-1	CacheMisses	187
7	rtr1-1	size	8
7	rtr1-2	CacheHits	0
7	rtr1-2	CacheMisses	128
7	rtr1-2	size	8
7	user1-1	CacheHits	92
7	user1-1	CacheMisses	58
7	user1-1	size	100
7	rtr2-1	CacheHits	0
7	rtr2-1	CacheMisses	117
7	rtr2-1	size	8
7	user1-2	CacheHits	85
7	user1-2	CacheMisses	65
7	user1-2	size	100
7	user1-3	CacheHits	94
7	user1-3	CacheMisses	56
7	user1-3	size	100
7	user2-1	CacheHits	107
7	user2-1	CacheMisses	43
7	user2-1	size	100
7	user2-2	CacheHits	87
7	user2-2	CacheMisses	63
7	user2-2	size	100
8	root	CacheHits	0
8	root	CacheMisses	302
8	root	size	8
8	rtr1-1	CacheHits	0
8	rtr1-1	CacheMisses	182
8	rtr1-1	size	8
8	rtr1-2	CacheHits	0
8	rtr1-2	CacheMisses	120
8	rtr1-2	size	8
8	user1-1	CacheHits	85
8	user1-1	CacheMisses	65
8	user1-1	size	100
8	rtr2-1	CacheHits	0
8	rtr2-1	CacheMisses	115
8	rtr2-1	size	8
8	user1-2	CacheHits	90
8	user1-2	CacheMisses	60
8	user1-2	size	100
8	user1-3	CacheHits	96
8	user1-3	CacheMisses	54
8	user1-3	size	100
8	user2-1	CacheHits	103
8	user2-1	CacheMisses	47
8	user2-1	size	100
8	user2-2	CacheHits	87
8	user2-2	CacheMisses	63
8	user2-2	size	100
9	root	CacheHits	0
9	root	CacheMisses	303
9	root	size	8
9	rtr1-1	CacheHits	0
9	rtr1-1	CacheMisses	177
9	rtr1-1	size	8
9	rtr1-2	CacheHits	0
9	rtr1-2	CacheMisses	126
9	rtr1-2	size	8
9	user1-1	CacheHits	102
9	user1-1	CacheMisses	48
9	user1-1	size	100
9	rtr2-1	CacheHits	0
9	rtr2-1	CacheMisses	125
9	rtr2-1	size	8
9	user1-2	CacheHits	99
9	user1-2	CacheMisses	51
9	user1-2	size	100
9	user1-3	CacheHits	80
9	user1-3	CacheMisses	70
9	user1-3	size	100
9	user2-1	CacheHits	94
9	user2-1	CacheMisses	56
9	user2-1	size	100
9	user2-2	CacheHits	96
9	user2-2	CacheMisses	54
9	user2-2	size	100
10	root	CacheHits	0
10	root	CacheMisses	305
10	root	size	8
